IDx,Title,Link
139,Hunter x Hunter: Greed Island Final,https://myanimelist.net/anime/139/Hunter_x_Hunter__Greed_Island_Final
627,Major S1,https://myanimelist.net/anime/627/Major_S1
1210,NHK ni Youkoso!,https://myanimelist.net/anime/1210/NHK_ni_Youkoso
36949,Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen,https://myanimelist.net/anime/36949/Shokugeki_no_Souma__San_no_Sara_-_Toutsuki_Ressha-hen
338,Versailles no Bara,https://myanimelist.net/anime/338/Versailles_no_Bara
57,Beck,https://myanimelist.net/anime/57/Beck
6945,Gintama: Shiroyasha Koutan,https://myanimelist.net/anime/6945/Gintama__Shiroyasha_Koutan
15227,Kono Sekai no Katasumi ni,https://myanimelist.net/anime/15227/Kono_Sekai_no_Katasumi_ni
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,https://myanimelist.net/anime/32937/Kono_Subarashii_Sekai_ni_Shukufuku_wo_2
1842,Major S3,https://myanimelist.net/anime/1842/Major_S3
5081,Bakemonogatari,https://myanimelist.net/anime/5081/Bakemonogatari
5460,Detective Conan Movie 13: The Raven Chaser,https://myanimelist.net/anime/5460/Detective_Conan_Movie_13__The_Raven_Chaser
264,Hajime no Ippo: Champion Road,https://myanimelist.net/anime/264/Hajime_no_Ippo__Champion_Road
11771,Kuroko no Basket,https://myanimelist.net/anime/11771/Kuroko_no_Basket
558,Major S2,https://myanimelist.net/anime/558/Major_S2
437,Perfect Blue,https://myanimelist.net/anime/437/Perfect_Blue
329,Planetes,https://myanimelist.net/anime/329/Planetes
37095,"Violet Evergarden: Kitto ""Koi"" wo Shiru Hi ga Kuru no Darou",https://myanimelist.net/anime/37095/Violet_Evergarden__Kitto_Koi_wo_Shiru_Hi_ga_Kuru_no_Darou
43,Ghost in the Shell,https://myanimelist.net/anime/43/Ghost_in_the_Shell
36296,Hinamatsuri,https://myanimelist.net/anime/36296/Hinamatsuri
9617,K-On! Movie,https://myanimelist.net/anime/9617/K-On_Movie
11843,Danshi Koukousei no Nichijou,https://myanimelist.net/anime/11843/Danshi_Koukousei_no_Nichijou
19363,Gin no Saji 2nd Season,https://myanimelist.net/anime/19363/Gin_no_Saji_2nd_Season
1889,Higurashi no Naku Koro ni Kai,https://myanimelist.net/anime/1889/Higurashi_no_Naku_Koro_ni_Kai
5690,Nodame Cantabile Finale,https://myanimelist.net/anime/5690/Nodame_Cantabile_Finale
2966,Ookami to Koushinryou,https://myanimelist.net/anime/2966/Ookami_to_Koushinryou
34537,Yoru wa Mijikashi Arukeyo Otome,https://myanimelist.net/anime/34537/Yoru_wa_Mijikashi_Arukeyo_Otome
22297,Fate/stay night: Unlimited Blade Works,https://myanimelist.net/anime/22297/Fate_stay_night__Unlimited_Blade_Works
1142,Hachimitsu to Clover II,https://myanimelist.net/anime/1142/Hachimitsu_to_Clover_II
23317,Kuroshitsuji: Book of Murder,https://myanimelist.net/anime/23317/Kuroshitsuji__Book_of_Murder
30,Neon Genesis Evangelion,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion
853,Ouran Koukou Host Club,https://myanimelist.net/anime/853/Ouran_Koukou_Host_Club
6675,Redline,https://myanimelist.net/anime/6675/Redline
35466,ReLIFE: Kanketsu-hen,https://myanimelist.net/anime/35466/ReLIFE__Kanketsu-hen
9863,SKET Dance,https://myanimelist.net/anime/9863/SKET_Dance
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,https://myanimelist.net/anime/32188/Steins_Gate__Kyoukaimenjou_no_Missing_Link_-_Divide_By_Zero
